best_movie_titles,best_movie_ratings,best_revenue
Avengers: Endgame ,8.4,214400020
The Lion King ,6.9,141977779
Star Wars Episode IX - The Rise of Skywalkers,6.7,103043510
Frozen II,6.9,245481218
Toy Story 4,7.8,147484656
Captin Marvel,6.9,90136418
"Spider-Man"" Far from Home",7.5,110461346
Aladdin ,7,136922023
Joker ,8.5,112300000
Jumanji: The Next Level,6.7,47560149
Cats,2.7,20675710
Charlie's Angels ,4.6,5461478
Black Christmas,3.2,399416
The Hustle,5.4,4704353
47 Meters Down: Uncaged,5,3584346
The Kitchen,5.4,502000
What Men Want,5.2,4188679
Hellboy,5.2,3300835
Serenity,5.3,0
Men in Black: International,5.7,22510761
