best_movie_titles,best_movie_ratings,best_revenue
Avengers: Endgame ,8.4,614316021
The Lion King ,6.9,120446631
Star Wars Episode IX - The Rise of Skywalkers,6.7,20549419
Frozen II,6.9,122319598
Toy Story 4,7.8,29103284
Captin Marvel,6.9,154070663
"Spider-Man"" Far from Home",7.5,198999549
Aladdin ,7,53481575
Joker ,8.5,0
Jumanji: The Next Level,6.7,31654676
Cats,2.7,0
Charlie's Angels ,4.6,10800219
Black Christmas,3.2,0
The Hustle,5.4,0
47 Meters Down: Uncaged,5,6776205
The Kitchen,5.4,0
What Men Want,5.2,0
Hellboy,5.2,0
Serenity,5.3,67209
Men in Black: International,5.7,44474756
