best_movie_titles,best_movie_ratings,best_revenue
Avengers: Endgame ,8.4,114995529
The Lion King ,6.9,98483669
Star Wars Episode IX - The Rise of Skywalkers,6.7,75922920
Frozen II,6.9,69784965
Toy Story 4,7.8,82805689
Captin Marvel,6.9,51792440
"Spider-Man"" Far from Home",7.5,48390600
Aladdin ,7,47530874
Joker ,8.5,72700000
Jumanji: The Next Level,6.7,47672978
Cats,2.7,14715433
Charlie's Angels ,4.6,1483398
Black Christmas,3.2,618327
The Hustle,5.4,4325155
47 Meters Down: Uncaged,5,0
The Kitchen,5.4,302000
What Men Want,5.2,3956390
Hellboy,5.2,2472655
Serenity,5.3,0
Men in Black: International,5.7,8446134
