best_movie_titles,best_movie_ratings,best_revenue
Avengers: Endgame ,8.4,163262098
The Lion King ,6.9,74650033
Star Wars Episode IX - The Rise of Skywalkers,6.7,29679772
Frozen II,6.9,59089245
Toy Story 4,7.8,104542174
Captin Marvel,6.9,71466905
"Spider-Man"" Far from Home",7.5,60615698
Aladdin ,7,52932305
Joker ,8.5,82200000
Jumanji: The Next Level,6.7,33929635
Cats,2.7,1370801
Charlie's Angels ,4.6,5817731
Black Christmas,3.2,0
The Hustle,5.4,5449399
47 Meters Down: Uncaged,5,1106959
The Kitchen,5.4,186000
What Men Want,5.2,0
Hellboy,5.2,2186809
Serenity,5.3,964474
Men in Black: International,5.7,13315517
