Title,Domestic Revenue (US),Europe,Latin America,Asia Pacific,China
 Avengers: Endgame ,858373000,114995529,85667373,105229503,614316021
 The Lion King (2019) ,543638043,98483669,69468012,62672822,120446631
 Star Wars: Episode IX - The Rise of Skywalker ,515202542,75922920,16403074,66370271,20549419
 Frozen II ,477373578,69784965,30261061,122613328,122319598
 Toy Story 4 ,434038008,82805689,71882369,93812123,29103284
 Captain Marvel ,426829839,51792440,38152771,42920725,154070663
 Spider-Man: Far from Home ,390532085,48390600,32298318,58999344,198999549
 Aladdin (2019) ,355559216,47530874,32507722,112452092,53481575
 Joker ,335451311,72700000,43900000,46700000,0
 Jumanji: The Next Level ,316831246,47672978,21126611,31654676,31654676
